,AdaBoost_50,_id,buy_and_hold_50,elonmusk,katyperry,teslamotors,returns
188,-0.000859342569701,578212e94a725031900cd80d,-0.00170610367578,0.235464288471,0.440284338963,0.324251372566,0.000846761106079
184,-0.000897886469347,5782127c4a725031900cd80c,-0.00174252769313,0.422701440675,0.38413194156,0.193166617766,0.000844641223779
206,-0.000906744400881,578242be4a72503835bf9bf5,-0.00174498210509,0.225796166517,0.700715359191,0.0734884742921,0.000838237704209
230,-0.000869096093945,578245544a72503835bf9bfb,-0.00170351136374,0.192059439663,0.472311616252,0.335628944084,0.000834415269796
11,-0.000595754589224,5781fe7e4a72502142286c25,-0.00142534786802,0.36232425798,0.627580597908,0.010095144112,0.000829593278794
155,-0.0012414985228,57820f4e4a7250318f3d8a10,-0.00206752917675,0.527941465936,0.408630480392,0.0634280536715,0.000826030653948
129,-0.00119716940594,57820cbb4a7250318f3d8a0a,-0.00200838149012,0.261533710286,0.105586405561,0.632879884154,0.000811212084174
5,-0.000827921537594,5781fe0a4a7250214490fafa,-0.00162894894917,0.347527182305,0.428523472542,0.223949345153,0.000801027411579
58,-0.00133783966325,578203ba4a7250214490fb07,-0.00213716159814,0.517974432174,0.109174202974,0.372851364852,0.000799321934887
112,-0.00115217864758,57820afe4a7250318e71fd37,-0.00192904246493,0.213707471945,0.0799818010944,0.706310726961,0.000776863817342
31,-0.00131019855243,578200b04a72502141cf4d90,-0.00207266531063,0.291798785625,0.426019611642,0.282181602732,0.000762466758194
35,-0.00111011606134,578201204a72502141cf4d91,-0.00186322359713,0.601275093015,0.145700690324,0.253024216661,0.000753107535796
220,-0.000992947876077,5782444b4a7250383670aa3a,-0.00171797176841,0.0698036512806,0.520421648385,0.409774700334,0.000725023892337
124,-0.00116961808066,57820c4c4a725031900cd7fd,-0.00189172313333,0.228749307037,0.384779805913,0.38647088705,0.000722105052678
68,-0.00101380420852,578204a84a72502143184c1d,-0.0017287977956,0.288884151184,0.170536947699,0.540578901117,0.000714993587082
42,-0.00110781484333,578201f74a7250214490fb03,-0.00180861738229,0.17028951018,0.182722910499,0.646987579321,0.000700802538961
213,-0.00127545942168,578243994a72503834a8d18e,-0.00197257787509,0.271929642123,0.467667569396,0.260402788482,0.000697118453408
177,-0.00134330802578,578211c44a7250318d1eb133,-0.00202994834948,0.322167941361,0.535931535203,0.141900523436,0.0006866403237
120,-0.00129010769278,57820bde4a7250318e71fd39,-0.00197539295004,0.257781885106,0.309133521435,0.433084593459,0.000685285257259
232,-0.00106141226773,578245994a7250383670aa3d,-0.00173942740052,0.346634538713,0.337816665448,0.315548795839,0.000678015132788
49,-0.00137638192687,578202a54a72502142286c2f,-0.00204514513515,0.342268430953,0.367644443291,0.290087125756,0.000668763208282
258,-0.00114980457535,5782484c4a72503837205c16,-0.00180628133746,0.27417800473,0.421987340958,0.303834654312,0.000656476762106
